Aaron Allston
Abbie Brown
Abraham Lincoln
Abraham Merritt
Abraham Myerson
Ace Atkins
Ada Leverson
Adam Begley
Adam Carolla
Adam Gordon
Adam Mickiewicz
Adam Nevill
Adelaide Procter
Adelbert Chamisso
Adele Parks
Adeline Sergeant
Adolph Bandelier
Adrian Tchaikovsky
Agatha Christie
Agnes Laut
Agneta Anders
Al Sevcik
Alan Akers
Alan Clarke
Alan Douglas
Alan Foster
Alan Furst
Alan Garner
Alan Nourse
Alan Troop
Alastair Reynolds
Albert Camus
Albert Dicey
Albert Paine
Albert Teichner
Albert Terhune
Aldous Huxley
Aleister Crowley
Aleksander Solzhenitsyn
Aleksandr Ostrovsky
Aleksandr Pushkin
Alex Archer
Alex Garland
Alex Kava
Alex Scarrow
Alex Stone
Alexa Snow
Alexander Besher
Alexander Hewatt
Alexander Humboldt
Alexander Jablokov
Alexander Kielland
Alexander Lazeravich
Alexander McIvor-Tyndall
Alexander Pope
Alexander Smith
Alexander Whyte
Alexandra Ivy
Alexandra Sokoloff
Alexandre Dumas
Alexei Panshin
Alexis Morgan
Alexis Tocqueville
Alfred Bester
Alfred Church
Alfred Elwes
Alfred Lewis
Alfred Lichtenstein
Alfred Noyes
Alfred Ollivant
Alfred Rester
Alfred Tennyson
Alfred Vigny
Alfred Wallace
Algernon Blackwood
Algernon Swinburne
Algis Budrys
Alice Borchardt
Alice Brown
Alice Burnett
Alice Curtis
Alice Dunbar
Alice Emerson
Alice Hoffman
Alice Meynell
Alice Miller
Alice Moore
Alice Rice
Alice Sebold
Alice Walker
Alisa Sheckley
Alison Croggon
Alison Weir
Alistair MacLean
Allan Cole
Allan Pinkerton
Allen Chapman
Allen Johnson
Allen Lang
Allen Raine
Allen Steele
Allen Upward
Alphonse Daudet
Alphonse Lamartine
Alvin Addison
Amanda Bonilla
Amanda Douglas
Ambrose Bierce
Amelia Barr
Amelia Edwards
Amy Blanchard
Amy Brooks
Amy Carmichael
Amy Casil
Amy Chalmers
Amy Feuvre
Amy Lowell
Amy Marlowe
Amy Prentice
Amy Steedman
Amy Tan
Amy Walton
Anatole France
Andre Norton
Andrew Carnegie
Andrew Lang
Andrew Murray
Andrew Offutt
Andrew Steinmetz
Andrew White
Andy Adams
Andy Cohen
Andy Duncan
Andy McNab
Andy Warhol
Andy Weir
Angela Brazil
Angie Sage
Angus Wells
Anita Blake
Anita Shreve
Ann Brashares
Ann Leckie
Ann Maxwell
Ann Patchett
Ann Radcliffe
Ann Stephens
Ann Wilson
Anna Fuller
Anna Green
Anna Jameson
Anna Myers
Anna Ray
Anna Sewell
Anne Bishop
Anne Bronte
Anne Desclos
Anne Frank
Anne Hampson
Anne Logston
Anne Manning
Anne McAllister
Anne McCaffrey
Anne Perry
Anne Rice
Anne Sedgwick
Anne Siddons
Anne Tyler
Anne Warner
Annie Brassey
Annie Call
Annie Carr
Annie Donnell
Annie Johnston
Annie Keeling
Annie Swan
Anthony Bourdain
Anthony Burgess
Anthony Doerr
Anthony Gilmore
Anthony Hamilton
Anthony Hope
Anthony Horowitz
Anthony Powell
Anthony Trollope
Anthony Wall
Antoine Saint-Exupery
Anton Chekhov
Anya Bast
Aphra Behn
Apollonius Rhodius
Aprilynne Pike
Aquinas Thomas
Archibald Fletcher
Archibald Lampman
Arlo Bates
Arnaldur Indridason
Arno Gaebelein
Arnold Bennett
Arnold Landor
Artemus Ward
Arthur Bailey
Arthur Benson
Arthur Brown
Arthur Burks
Arthur Clarke
Arthur Doyle
Arthur Golden
Arthur Griffiths
Arthur Helps
Arthur Leahy
Arthur Machen
Arthur Miller
Arthur Morrison
Arthur Pinero
Arthur Quiller-Couch
Arthur Ransome
Arthur Rees
Arthur Reeve
Arthur Saint-Amand
Arthur Schnitzler
Arthur Schopenhauer
Arthur Stringer
Arthur Symons
Arthur Train
Arthur Zagat
Arturo Perez-Reverte
Arundhati Roy
Asa Larsson
Ashley McConnell
Ashok Banker
Atul Gawande
Audrey Niffenegger
August Kotzebue
August Strindberg
Augusta Evans
Augusta Gregory
Auguste Groner
Augustine Birrell
Aunt Fanny
Austin Dobson
Avram Davidson
Aylward Dingle
Ayn Rand
Barb Hendee
Barbara Ehrenreich
Barbara Freethy
Barbara Hambly
Barbara Karmazin
Barbara Kingsolver
Barkham Burroughs
Barrington Bayley
Barry Hughart
Barry Longyear
Barry Malzberg
Barry Pain
Barry Sadler
Basil Chamberlain
Basil Hall
Basil King
Basil Wells
Bayard Taylor
Bear Grylls
Beatrix Potter
Belle Maniates
Ben Bova
Ben Counter
Ben Hecht
Ben Jonson
Ben Kane
Ben MacIntyre
Ben Sherwood
Ben Weaver
Benedictus Spinoza
Benito Galdos
Benjamin Black
Benjamin Curt
Benjamin Disraeli
Benjamin Franklin
Benjamin Rosenbaum
Bernard Berenson
Bernard Cornwell
Bernardin Saint-Pierre
Bernhard Schlink
Bertrand Russell
Bertrand Sinclair
Beryl Bainbridge
Bessie Marchant
Beth Kery
Beverly Barton
Beverly Connor
Beverly Donofrio
Bill Baldwin
Bill Bryson
Bill Clinton
Bill Fawcett
Bill Nye
Bill Pronzini
Bjornstjerne Bjornson
Blake Crouch
Bliss Carman
Bliss Perry
Bob Shaw
Bob Spitz
Bob Woodward
Booth Tarkington
Boris Pasternak
Boyd Cable
Brad Thor
Bradford Torrey
Bradley Denton
Bram Stoker
Brander Matthews
Brandilyn Collins
Brandon Mull
Brandon Sanderson
Brenda Clough
Brent Weeks
Bret Ellis
Bret Harte
Brian Aldiss
Brian Daley
Brian Donn-Byrne
Brian Falkner
Brian Haig
Brian Herbert
Brian Jacques
Brian Lumley
Brian McGilloway
Brian Plante
Brian Stableford
Brian Thomsen
Brian Williams
Bronson Howard
Bruce Bairnsfather
Bruce Balfour
Bruce Coville
Bruce Sterling
Bryce Walton
Bud Sparhawk
Burt Standish
Burton Hendrick
Burton Stevenson
Caitlin Brenna
Caitlin Kittredge
Cale Rice
Cameron Dean
Candace Sams
Candace Wheeler
Carey Rockwell
Carl Becker
Carl Hoffman
Carl Jacobi
Carl Sagan
Carlo Collodi
Carlos Castaneda
Carlos Zafon
Carol Berg
Carol Emshwiller
Carol O'Connell
Carol-Lynn Waugh
Caroline Hentz
Caroline Lockhart
Carolyn Wells
Casey Daniels
Cassandra Clare
Cassius Dio
Catharine Traill
Catherine Asaro
Catherine Banner
Catherine Coulter
Catherine George
Cathryn Fox
Cathy Cassidy
Cathy Yardley
Celeste Ng
Charlaine Harris
Charles Babbage
Charles Beach
Charles Beard
Charles Beaumont
Charles Bernard
Charles Brown
Charles Buck
Charles Calverley
Charles Carryl
Charles Chesnutt
Charles Clark
Charles Coffin
Charles Colby
Charles Darwin
Charles Dickens
Charles Diffin
Charles Dobie
Charles Dufresny
Charles Duhigg
Charles Eastman
Charles Eliot
Charles Finlay
Charles Fontenay
Charles Fritch
Charles Garvice
Charles Grant
Charles Greville
Charles Gunnison
Charles Hyne
Charles Ingrid
Charles Kent
Charles King
Charles Kingsley
Charles Klein
Charles Lamb
Charles Leland
Charles Lint
Charles Lyell
Charles Mackay
Charles Macklin
Charles Major
Charles Munn
Charles Orr
Charles Reade
Charles Roberts
Charles Seltzer
Charles Sheffield
Charles Sheldon
Charles Southwell
Charles Stoddard
Charles Stross
Charles Sylvester
Charles Todd
Charles Vet
Charles Warner
Charles Whibley
Charles Whistler
Charles Williams
Charlie Huston
Charlotte Bronte
Charlotte Elizabeth
Charlotte Gilman
Charlotte Herr
Charlotte Tucker
Charlotte Yonge
Charlton Lewis
Chaz Brenchley
